Kabupaten/Kota,Persentase Penduduk Miskin,Garis Kemiskinan,P1,P2
Kabupaten Pacitan,13.8,327758,1.35,0.23
Kabupaten Ponorogo,9.32,362461,0.99,0.16
Kabupaten Trenggalek,10.96,381448,1.38,0.28
Kabupaten Tulungagung,6.71,391888,0.66,0.09
Kabupaten Blitar,8.71,355511,1.33,0.3
Kabupaten Kediri,10.65,353033,1.67,0.41
Kabupaten Malang,9.55,367579,0.92,0.18
Kabupaten Lumajang,9.06,352776,1.34,0.31
Kabupaten Jember,9.39,400961,1.08,0.22
Kabupaten Banyuwangi,7.51,414879,1.18,0.25
Kabupaten Bondowoso,13.47,449760,1.62,0.33
Kabupaten Situbondo,11.78,356133,1.34,0.27
Kabupaten Probolinggo,17.12,475713,2.54,0.59
Kabupaten Pasuruan,8.96,394016,1.29,0.29
Kabupaten Sidoarjo,5.36,523213,0.84,0.18
Kabupaten Mojokerto,9.71,445608,1.37,0.29
Kabupaten Jombang,9.04,448830,1.19,0.23
Kabupaten Nganjuk,10.7,474429,1.48,0.31
Kabupaten Madiun,10.79,405127,1.67,0.37
Kabupaten Magetan,9.84,396696,1.55,0.34
Kabupaten Ngawi,14.15,382301,1.66,0.31
Kabupaten Bojonegoro,12.21,403403,1.9,0.4
Kabupaten Tuban,15.02,421287,2.89,0.81
Kabupaten Lamongan,12.53,446601,2.13,0.53
Kabupaten Gresik,11.06,536544,2.17,0.89
Kabupaten Bangkalan,19.44,458754,3.02,0.73
Kabupaten Sampang,21.61,411661,2.88,0.53
Kabupaten Pamekasan,13.93,392345,2.05,0.41
Kabupaten Sumenep,18.76,427882,3.72,1.16
Kota Kediri,7.23,537326,1.42,0.41
Kota Blitar,7.37,517363,0.9,0.19
Kota Malang,4.37,609612,1,0.34
Kota Probolinggo,6.65,575195,1.04,0.23
Kota Pasuruan,6.37,486893,0.93,0.22
Kota Mojokerto,5.98,531804,0.87,0.18
Kota Madiun,4.76,551620,0.4,0.06
Kota Surabaya,4.72,652540,0.69,0.18
Kota Batu,3.79,564010,0.64,0.16
Jawa Timur,10.38,460909,1.62,0.38
